bble,lat,lng,2010,2011,2012,2013,2014,neighborhood
1012030021,40.78786,-73.96891,1710000,1170000,1755000,2410000,2425000,17
1012030020,40.78788,-73.96897,1640000,1120000,1680000,2312000,2327000,17
1012030023,40.78778,-73.96872,1640000,1120000,1680000,2312000,2327000,17
1012030022,40.7878,-73.96879,1720000,1180000,1770000,2423000,2438000,17
1012030025,40.7877,-73.96854,1720000,1180000,1770000,2423000,2438000,17
1018150001,40.79635,-73.93186,1040000,889000,1333000,1340000,1164000,26
1012030027,40.78765,-73.96842,8710000,8790000,8816000,9080000,9126000,17
1012030026,40.78768,-73.96848,1740000,1780000,2539000,2448000,2464000,17
1018800001,40.80295,-73.96706,10200000,10600000,11802000,12837000,12905000,24
1018800007,40.8028,-73.96673,4640000,4590000,4465000,5145000,5196000,24
1008270059,40.744,-73.99,1930000,3260000,3837000,3114000,3157000,21
1017960001,40.79892,-73.93601,615000,640000,889000,897000,778000,26
1017960003,40.79906,-73.93596,815000,730000,823000,806000,699000,26
1017960004,40.79912,-73.93591,831000,744000,840000,822000,713000,26
1017960005,40.79891,-73.93582,1150000,1150000,692000,677000,587000,26
1017960006,40.79889,-73.93576,903000,1080000,553000,414000,434000,26
1017960007,40.79884,-73.93565,1020000,1020000,674000,659000,572000,26
1017960008,40.79881,-73.93558,1080000,1240000,1413000,1256000,1266000,26
1007170039,40.74445,-74.0032,6580000,6580000,2525000,3135000,3057000,21
1013910054,40.77467,-73.9629,22100000,22100000,33150000,33454000,34218000,12
1020230037,40.81728,-73.94294,1165000,1170000,635000,502000,501000,14
1020230036,40.81727,-73.94273,550000,626000,734000,581000,580000,14
1020230035,40.81721,-73.94274,397000,383000,290000,328000,328000,14
1020230034,40.81717,-73.9428,972000,972000,401000,317000,317000,14
1020230039,40.81734,-73.94308,1110000,1110000,456000,360000,360000,14
1020230038,40.81729,-73.94302,1510000,1740000,1745000,1760000,1774000,14
1014900028,40.77015,-73.94821,10100000,10800000,11712000,10632000,10936000,13
1006080074,40.73717,-73.99996,4870000,4940000,5420000,4677000,4618000,22
1015050011,40.78572,-73.9561,7980000,8500000,9000000,10081500,8796000,12
1017720050,40.80339,-73.93761,877000,877000,401000,317000,317000,26
1015050013,40.78567,-73.95589,2260000,1590000,2385000,3026000,3067000,12
1015050012,40.78567,-73.95598,8160000,8240000,8265000,8337000,8401000,12
1017720055,40.80341,-73.9384,2080000,991000,485000,525000,613000,26
1015050014,40.7856,-73.95584,4760000,4800000,7200000,7416000,8068000,12
1017720057,40.80362,-73.93821,2110000,1300000,1844000,1241000,1240000,26
1015050016,40.78555,-73.95574,4760000,4800000,4814000,4856000,4893000,12
1018810013,40.80325,-73.96583,1550000,1520000,1927000,2255000,2231000,24
1011660061,40.78148,-73.98293,13600000,13600000,10150000,11165000,12226000,17
1011660060,40.78139,-73.98266,2800000,2915000,5000000,4818000,5491000,17
1013990126,40.76525,-73.96513,9630000,9750000,9779000,10072000,12078000,12
1013990123,40.76538,-73.96536,7140000,7200000,7222000,7285000,7341000,12
1013990128,40.76516,-73.96498,4010000,4040000,5369000,5229000,5238000,12
